   # ticker        messages        MB     cumMB
 253 PINS           321,384      9.77   5321.94
 254 CDNS           325,239      9.73   5331.66
 255 NUGT           324,458      9.72   5341.38
 256 BTI            320,699      9.65   5351.04
 257 ITOT           316,830      9.53   5360.57
 258 KHC            313,517      9.52   5370.08
 259 AR             315,949      9.51   5379.60
 260 PBR            319,408      9.51   5389.10
 261 KIM            315,908      9.48   5398.58
 262 AFL            316,554      9.47   5408.06
 263 CSF            319,549      9.47   5417.52
 264 CHPT           313,889      9.46   5426.98
 265 IYW            318,741      9.45   5436.43
 266 VER            316,213      9.38   5445.81
 267 SPXU           309,133      9.35   5455.16
 268 EWJ            312,282      9.32   5464.49
 269 RTX            309,759      9.32   5473.81
 270 PM             309,838      9.30   5483.11
 271 XSD            312,378      9.30   5492.41
 272 VT             308,935      9.30   5501.71
 273 NFLX           302,441      9.29   5511.00
 274 PAAS           310,532      9.29   5520.29
 275 BKR            306,565      9.26   5529.55
 276 IYF            311,610      9.23   5538.78
 277 SPWR           306,916      9.22   5548.00
 278 RF             306,258      9.21   5557.22
 279 VZ             306,725      9.21   5566.43
 280 GOLD           311,405      9.21   5575.64
 281 WPM            308,014      9.19   5584.82
 282 PSX            305,979      9.19   5594.01
 283 SNAP           301,424      9.16   5603.17
 284 PBCT           305,604      9.13   5612.30
 285 WBA            298,010      9.09   5621.39
 286 DHI            301,257      9.08   5630.47
 287 MRVL           299,434      9.05   5639.53
 288 HPQ            296,721      9.04   5648.56
 289 IEFA           302,628      9.04   5657.60
 290 NRGU           301,130      9.00   5666.60
 291 WCLD           290,696      8.99   5675.59
 292 STL            300,809      8.96   5684.55
 293 ABBV           294,621      8.93   5693.48
 294 DDM            297,334      8.90   5702.37
 295 BIDU           290,177      8.88   5711.26
 296 IVOO           302,563      8.79   5720.05
 297 KWEB           287,289      8.75   5728.80
 298 ENB            294,797      8.74   5737.54
 299 CSX            288,292      8.74   5746.28
 300 ARKG           291,817      8.70   5754.99
 301 FNB            287,654      8.69   5763.67
 302 LQD            286,545      8.65   5772.33
 303 JBLU           286,774      8.64   5780.97
 304 CVS            287,481      8.63   5789.60
 305 LEN            286,977      8.63   5798.23
 306 BILI           282,253      8.62   5806.85
 307 IQ             284,713      8.61   5815.46
 308 AGQ            290,049      8.59   5824.06
 309 VYM            287,049      8.56   5832.62
 310 GSK            286,512      8.56   5841.18
 311 NVO            293,853      8.53   5849.71
 312 HBAN           282,952      8.52   5858.23
 313 SU             287,977      8.52   5866.75
 314 ACB            287,075      8.51   5875.26
 315 ITUB           285,678      8.49   5883.75
 316 FL             283,990      8.47   5892.22
 317 BK             279,751      8.44   5900.66
 318 AIG            277,277      8.34   5909.00
 319 SLV            277,824      8.25   5917.25
 320 CNQ            275,758      8.24   5925.49
 321 SAVE           272,904      8.20   5933.70
 322 BBBY           271,845      8.20   5941.90
 323 IVZ            270,921      8.18   5950.08
 324 DIDI           263,859      8.15   5958.23
 325 MA             265,597      8.13   5966.36
 326 TMUS           268,420      8.12   5974.47
 327 EA             268,171      8.11   5982.59
 328 RCL            269,731      8.09   5990.67
 329 SKYY           270,252      8.07   5998.74
 330 UAA            264,105      7.95   6006.69
 331 OVV            264,957      7.93   6014.62
 332 IVW            265,268      7.92   6022.53
 333 IEF            264,580      7.90   6030.43
 334 EMR            263,072      7.90   6038.33
 335 BAM            263,675      7.88   6046.21
 336 CAG            259,006      7.88   6054.09
 337 DLTR           260,808      7.87   6061.96
 338 MXIM           261,901      7.85   6069.81
 339 DVY            263,234      7.83   6077.64
 340 BRK.B          258,522      7.81   6085.46
 341 IYE            262,609      7.81   6093.26
 342 WKHS           253,756      7.78   6101.05
 343 SO             258,345      7.75   6108.80
 344 ZG             259,990      7.74   6116.54
 345 ARKW           258,602      7.72   6124.26
 346 GPS            254,336      7.71   6131.97
 347 BMY            254,346      7.70   6139.66
 348 BTU            254,459      7.69   6147.36
 349 BRZU           253,425      7.65   6155.00
 350 GILD           252,532      7.64   6162.64
 351 FCEL           252,196      7.62   6170.27
 352 VWO            253,144      7.59   6177.86
 353 CLNE           250,330      7.58   6185.43
 354 T              249,188      7.56   6193.00
 355 AVGO           250,423      7.56   6200.55
 356 PFE            249,016      7.55   6208.10
 357 LB             251,234      7.54   6215.64
 358 UDR            251,397      7.54   6223.18
 359 JDST           252,842      7.52   6230.70
 360 COST           246,847      7.50   6238.20
 361 AZUL           252,224      7.48   6245.67
 362 ETN            246,188      7.43   6253.11
 363 VIPS           244,142      7.43   6260.53
 364 MVV            258,647      7.40   6267.93
 365 BMO            249,380      7.40   6275.33
 366 BLIN           227,719      7.39   6282.72
 367 OKE            246,299      7.39   6290.10
 368 SDY            246,284      7.37   6297.47
 369 GGB            246,363      7.35   6304.83
 370 KMI            243,786      7.34   6312.17
 371 MUR            245,220      7.34   6319.51
 372 MIDU           257,586      7.34   6326.85
 373 BBY            241,731      7.31   6334.16
 374 BEN            240,226      7.29   6341.45
 375 QCLN           243,836      7.28   6348.73
 376 MRNA           232,471      7.26   6355.99
 377 CNK            240,688      7.26   6363.25
 378 AEM            240,338      7.25   6370.50
 379 TILT           244,234      7.24   6377.74
 380 VLUE           236,187      7.23   6384.97
 381 CRWD           236,002      7.20   6392.17
 382 MGM            237,652      7.19   6399.36
 383 PTON           231,860      7.12   6406.48
 384 URTY           233,634      7.11   6413.59
 385 ROKU           232,393      7.10   6420.70
 386 MOS            236,193      7.10   6427.80
 387 DD             237,081      7.09   6434.89
 388 OHI            237,210      7.09   6441.98
 389 MO             232,758      7.07   6449.06
 390 PENN           232,853      7.07   6456.12
 391 VFH            237,820      7.06   6463.18
 392 MAR            233,293      7.06   6470.24
 393 CUK            234,343      7.04   6477.28
 394 NVTA           234,926      7.04   6484.32
 395 BLDP           233,475      7.03   6491.36
 396 SPLK           231,363      6.99   6498.35
 397 IWP            235,000      6.98   6505.33
 398 JCI            230,316      6.97   6512.30
 399 AFRM           223,188      6.94   6519.25
 400 AEP            230,617      6.94   6526.19
 401 IPG            230,484      6.93   6533.12
 402 FOX            231,129      6.90   6540.02
 403 HPE            226,930      6.88   6546.90
 404 HFC            229,527      6.88   6553.78
 405 PHG            230,847      6.87   6560.65
 406 NTR            230,746      6.87   6567.51
 407 KDP            225,380      6.86   6574.37
 408 Z              226,057      6.84   6581.21
